name,base_element,sheet_name,label,structure,pure_label,material type,ductile_or_brittle,Grady_ductile_median,Grady_ductile_lower,Grady_ductile_higher,Grady_brittle_lower,Grady_brittle_higher,Grady_brittle_ave,GPR_production,GPR_error,test or train,spall_min,spall_max,spall_median,spall_mean,,spall data type,spall_stdev,uts_min,uts_max,uts_median,uts_mean,uts_calc,yield_min,yield_max,yield_median,yield_mean,yield_calc,comp_min,comp_max,comp_median,comp_mean,comp_calc,bulk_min,bulk_max,bulk_median,bulk_mean,bulk_calc,shear_min,shear_max,shear_median,shear_mean,shear_calc,young_min,young_max,young_median,young_mean,young_calc,dens_min,dens_max,dens_median,dens_mean,dens_calc,hard_min,hard_max,hard_median,hard_mean,hard_calc,frac_min,frac_max,frac_median,frac_mean,frac_calc
Cobalt Haynes 25 (L605),Co,CoL605,Co L-605,,,alloy,ductile,5.09,3.78,6.8,N/A,N/A,N/A,2.3310887,1.292823,train,2,2,2,2,single point,alloy - single point,0,773,1180,976.5,976.5,no,254,819,460,511,no,283,313,298,298,no,178,210,188,192,no,86.9,89.7,87,87.87,no,222,240,235.6,232.53,no,9.12,9.24,9.12,9.16,no,220,300,260,260,no,120,150,135,135,no
CoCrFeNi,HEA,CoCrFeNi,CoCrFeNi,,,alloy,brittle,N/A,N/A,N/A,1.19,2.57,1.88,2.3850593,1.259884,train,3.15,3.28,3.19,3.2,varies by impact condition,alloy - varies by impact condition,0.05,413,413,413,413,no,147,147,147,147,no,136,136,136,136,no,168.84,168.84,168.84,168.84,yes,85.33,85.33,85.33,85.33,yes,219.09,219.09,219.09,219.09,yes,8.23,8.23,8.23,8.23,no,135,135,135,135,no,27.6,27.6,27.6,28,no
Chromium,Cr,Cr,Cr,bcc,Cr - bcc,metal,ductile,4.31,4.31,4.31,N/A,N/A,N/A,0.9124683,1.41612,train,0.65,0.65,0.65,0.65,single point,metal - single point,0,760,760,760,760,no,370,370,370,370,no,185,430,307.5,307.5,no,136,170,167.5,160.25,no,71.6,120,114,104.12,no,245,322,285,283.2,no,7.1,7.24,7.19,7.17,no,90,90,90,90,no,120,150,135,135,no
CrCoNi,Cr,CrCoNi,CrCoNi,,,alloy,ductile,7.09,6.54,7.59,N/A,N/A,N/A,4.015701,1.712398,train,3.82,4.27,3.97,4.02,varies by impact condition,alloy - varies by impact condition,0.18,926,1090,1008,1008,no,691,930,810.5,810.5,no,354.48,354.48,354.48,354.48,yes,206.61,206.61,206.61,206.61,yes,84.14,84.14,84.14,84.14,yes,222.24,222.24,222.24,222.24,yes,8.32,8.32,8.32,8.32,no,135.88,135.88,135.88,135.88,yes,287,287,287,287,yes
CrMnFeCoNi,HEA,CrMnFeCoNi,CrMnFeCoNi,,,alloy,ductile,3.39,3.39,3.39,N/A,N/A,N/A,3.2439389,1.261612,train,2.07,2.53,2.12,2.21,varies by impact condition,alloy - varies by impact condition,0.22,600,600,600,600,no,265,265,265,265,no,1036.6,1036.6,1036.6,1036.6,no,144.27,144.27,144.27,144.27,yes,80,80,80,80,no,202.56,202.56,202.56,202.56,yes,7.86,7.86,7.86,7.86,no,228,228,228,228,no,262,262,262,262,no
Copper,Cu,Cu,Cu,fcc,Cu - fcc,metal,ductile,1.66,1.18,1.7,N/A,N/A,N/A,1.4838055,0.752865,train,0.62,2.5,1.7,1.54,varies by source,metal - varies by source,0.48,210,390,222.5,261.25,no,33.3,69,66,56.1,no,45,330,62,145.67,no,130,145,140,138.33,no,44,49,45.75,46.13,no,110,133,125,123.25,no,8.91,8.94,8.93,8.93,no,50,50,50,50,no,40,100,70,70,no
Cu-1Pb,Cu,Cu_1Pb,Cu-1Pb,,,alloy,ductile,1.76,1.76,1.76,N/A,N/A,N/A,1.5042764,0.751505,train,0.75,0.83,0.79,0.79,varies by impact condition,alloy - varies by impact condition,0.06,220.28,220.28,220.28,220.28,yes,76,76,76,76,no,65,65,65,65,no,135.89,135.89,135.89,135.89,yes,47.36,47.36,47.36,47.36,yes,127.3,127.3,127.3,127.3,yes,8.93,8.93,8.93,8.93,no,49.55,49.55,49.55,49.55,yes,69.4,69.4,69.4,69,yes
Cu-24Ag,Cu,Cu_24Ag,Cu-24Ag,,,alloy,ductile,1.65,1.65,1.65,N/A,N/A,N/A,1.5535993,0.778223,train,1.42,1.42,1.42,1.42,single point,alloy - single point,0,206.5,206.5,206.5,206.5,yes,66.93,66.93,66.93,66.93,yes,89.63,89.63,89.63,89.63,yes,136.01,136.01,136.01,136.01,yes,45.9,45.9,45.9,45.9,yes,123.77,123.77,123.77,123.77,yes,9.08,9.08,9.08,9.08,no,99.32,99.32,99.32,99.32,no,70.63,70.63,70.63,71,yes
Cu-15Nb,Cu,Cu_15Nb,Cu-15Nb,,,alloy,ductile,1.72,1.72,1.72,N/A,N/A,N/A,1.6903926,0.893676,train,1.73,1.81,1.77,1.77,varies by source,alloy - varies by source,0.06,223.12,223.12,223.12,223.12,yes,68.83,68.83,68.83,68.83,yes,66.31,66.31,66.31,66.31,yes,143.39,143.39,143.39,143.39,yes,39.46,39.46,39.46,39.46,yes,108.43,108.43,108.43,108.43,yes,8.87,8.88,8.88,8.88,no,129.5,129.5,129.5,129.5,no,69.76,69.76,69.76,70,yes
Cu-10Ta,Cu,Cu_10Ta,Cu-10Ta,,,alloy,ductile,1.75,1.75,1.75,N/A,N/A,N/A,1.5151274,0.776888,train,0.3,0.4,0.36,0.35,varies by impact condition,alloy - varies by impact condition,0.04,226,226,226,226,yes,69.7,69.7,69.7,69.7,yes,257,267,262,262,no,146.5,146.5,146.5,146.5,yes,48.06,48.06,48.06,48.06,yes,131.1,131.1,131.1,131.1,yes,9.27,9.27,9.27,9.27,no,55,55,55,55,yes,75,75,75,75,yes
GRCop-84,Cu,GRCop,GRCop,,,alloy,ductile,3.15,3.15,3.15,N/A,N/A,N/A,2.4969363,0.858184,test,2.7,3.1,2.9,2.9,varies by impact condition,alloy - varies by impact condition,0.28,445,445,445,445,no,236,236,236,236,no,162,162,162,162,no,140.39,140.39,140.39,140.39,yes,43.85,43.85,43.85,43.85,yes,119.15,119.15,119.15,119.15,yes,8.74,8.74,8.74,8.74,no,132,132,132,132,no,64.8,64.8,64.8,65,no
